ID,Title,Brief Description,Type,Area,Priority,Initiative,Epic,Dependencies,Blocked Items,Complexity,Risk,Milestone,Release Impact,Labels,Database Impact,API Impact,Security Impact
STAB-001,Verify a restorable production-data baseline,"Inventory, back up, and restore retained data before migrations.",Technical task,Operations,P0,STAB-I01,STAB-E01,None,"STAB-002;AUTH-002;DOM-002;DEPLOY-003",M,High,M0,First production release,"operations;database;priority:P0",Query-only,None,High
STAB-002,Commit a non-destructive Prisma migration baseline,"Track a baseline that supports empty and retained databases.",Migration,Database,P0,STAB-I01,STAB-E01,STAB-001,"STAB-003;FIN-001;AUTH-001;DOM-005;DEVOPS-003",M,High,M0,First production release,"database;migration;priority:P0",Schema metadata,None,Medium
STAB-003,Create a reproducible MySQL integration-test harness,"Run database tests against disposable MySQL.",Test,Testing,P0,STAB-I01,STAB-E01,STAB-002,"FIN-004;FIN-006;CI-001",M,Medium,M0,Local development only,"testing;database;priority:P0",Test-only,None,Low
STAB-004,Establish backend and frontend lint/type gates,"Add deterministic quality commands and a warning policy.",Technical task,CI/CD,P1,STAB-I01,STAB-E01,None,"DEVOPS-001;CI-001",S,Low,M0,Local development only,"quality;frontend;backend",None,None,Low
STAB-005,Publish a secret-safe environment variable contract,"Document variables without committing values.",Documentation,Documentation,P0,STAB-I01,STAB-E01,None,"AUTH-001;DEVOPS-002",S,Medium,M0,First production release,"documentation;security;priority:P0",None,None,High
STAB-006,Reuse one Prisma client per API process,"Manage one database client lifecycle per process.",Technical task,Backend,P1,STAB-I01,STAB-E01,STAB-003,None,S,Low,M0,MVP,"backend;performance",None,Internal API change,Low
FIN-001,Specify the deterministic account-effect matrix,"Document signed effects and constraints for all transaction types.",Documentation,Architecture,P0,FIN-I01,FIN-E01,STAB-002,"FIN-002;FIN-003",S,High,M2,First production release,"finance;architecture;priority:P0",None,None,Medium
FIN-002,Implement Decimal-based balance-effect calculation,"Create a pure exact-money posting policy.",Story,Backend,P0,FIN-I01,FIN-E01,FIN-001,FIN-004,M,High,M2,First production release,"backend;finance;priority:P0",None,Internal API change,Medium
FIN-003,Enforce refund eligibility and remaining amount,"Prevent invalid and excessive refunds.",Story,Backend,P0,FIN-I01,FIN-E01,FIN-001,FIN-004,M,High,M2,First production release,"backend;refund;priority:P0",Constraint/query,Backward-compatible contract change,High
FIN-004,Post transaction effects atomically,"Commit effects and posted state in one database transaction.",Story,Backend,P0,FIN-I01,FIN-E02,"FIN-002;FIN-003;STAB-003","FIN-005;FIN-007",M,High,M2,First production release,"backend;database;priority:P0",Schema/constraint,Internal API change,High
